Date,USD to PKR
2024-01-01,1 USD =278.981 USD =278.98
2024-01-02,1 USD =281.951 USD =281.95
2024-01-03,1 USD =281.831 USD =281.83
2024-01-04,1 USD =281.711 USD =281.71
2024-01-05,1 USD =281.501 USD =281.50
2024-01-08,1 USD =281.201 USD =281.20
2024-01-09,1 USD =281.221 USD =281.22
2024-01-10,1 USD =281.261 USD =281.26
2024-01-11,1 USD =281.141 USD =281.14
2024-01-12,1 USD =280.521 USD =280.52
2024-01-15,1 USD =279.971 USD =279.97
2024-01-16,1 USD =280.641 USD =280.64
2024-01-17,1 USD =279.941 USD =279.94
2024-01-18,1 USD =277.691 USD =277.69
2024-01-19,1 USD =280.101 USD =280.10
2024-01-22,1 USD =279.691 USD =279.69
2024-01-23,1 USD =279.691 USD =279.69
2024-01-24,1 USD =279.951 USD =279.95
2024-01-25,1 USD =280.081 USD =280.08
2024-01-26,1 USD =279.751 USD =279.75
2024-01-29,1 USD =277.401 USD =277.40
2024-01-30,1 USD =279.481 USD =279.48
2024-01-31,1 USD =279.301 USD =279.30
2024-02-01,1 USD =279.601 USD =279.60
2024-02-02,1 USD =279.651 USD =279.65
2024-02-05,1 USD =277.791 USD =277.79
2024-02-06,1 USD =279.591 USD =279.59
2024-02-07,1 USD =279.301 USD =279.30
2024-02-08,1 USD =279.451 USD =279.45
2024-02-09,1 USD =279.401 USD =279.40
2024-02-12,1 USD =279.481 USD =279.48
2024-02-13,1 USD =279.311 USD =279.31
2024-02-14,1 USD =279.351 USD =279.35
2024-02-15,1 USD =279.371 USD =279.37
2024-02-16,1 USD =279.501 USD =279.50
2024-02-19,1 USD =276.801 USD =276.80
2024-02-20,1 USD =279.691 USD =279.69
2024-02-21,1 USD =279.491 USD =279.49
2024-02-22,1 USD =279.581 USD =279.58
2024-02-23,1 USD =279.731 USD =279.73
2024-02-26,1 USD =279.191 USD =279.19
2024-02-27,1 USD =279.501 USD =279.50
2024-02-28,1 USD =278.551 USD =278.55
2024-02-29,1 USD =277.761 USD =277.76
2024-03-01,1 USD =279.501 USD =279.50
2024-03-04,1 USD =279.451 USD =279.45
2024-03-05,1 USD =279.391 USD =279.39
2024-03-06,1 USD =279.401 USD =279.40
2024-03-07,1 USD =278.321 USD =278.32
2024-03-08,1 USD =279.151 USD =279.15
2024-03-11,1 USD =279.191 USD =279.19
2024-03-12,1 USD =279.111 USD =279.11
2024-03-13,1 USD =278.951 USD =278.95
2024-03-14,1 USD =278.951 USD =278.95
2024-03-15,1 USD =278.881 USD =278.88
2024-03-18,1 USD =278.701 USD =278.70
2024-03-19,1 USD =278.671 USD =278.67
2024-03-20,1 USD =278.441 USD =278.44
2024-03-21,1 USD =278.321 USD =278.32
2024-03-22,1 USD =278.251 USD =278.25
2024-03-25,1 USD =278.181 USD =278.18
2024-03-26,1 USD =277.981 USD =277.98
2024-03-27,1 USD =278.061 USD =278.06
2024-03-28,1 USD =277.941 USD =277.94
2024-03-29,1 USD =277.901 USD =277.90
2024-04-01,1 USD =277.861 USD =277.86
2024-04-02,1 USD =277.831 USD =277.83
2024-04-03,1 USD =277.821 USD =277.82
2024-04-04,1 USD =277.881 USD =277.88
2024-04-05,1 USD =277.541 USD =277.54
2024-04-08,1 USD =277.721 USD =277.72
2024-04-09,1 USD =277.951 USD =277.95
2024-04-10,1 USD =278.121 USD =278.12
2024-04-11,1 USD =277.991 USD =277.99
2024-04-12,1 USD =277.951 USD =277.95
2024-04-15,1 USD =278.021 USD =278.02
2024-04-16,1 USD =278.451 USD =278.45
2024-04-17,1 USD =278.211 USD =278.21
2024-04-18,1 USD =278.491 USD =278.49
2024-04-19,1 USD =278.651 USD =278.65
2024-04-22,1 USD =278.541 USD =278.54
2024-04-23,1 USD =278.461 USD =278.46
2024-04-24,1 USD =278.501 USD =278.50
2024-04-25,1 USD =278.601 USD =278.60
2024-04-26,1 USD =278.251 USD =278.25
2024-04-29,1 USD =278.401 USD =278.40
2024-04-30,1 USD =278.451 USD =278.45
2024-05-01,1 USD =278.501 USD =278.50
2024-05-02,1 USD =278.511 USD =278.51
2024-05-03,1 USD =278.501 USD =278.50
2024-05-06,1 USD =278.351 USD =278.35
2024-05-07,1 USD =278.151 USD =278.15
2024-05-08,1 USD =278.191 USD =278.19
2024-05-09,1 USD =278.521 USD =278.52
2024-05-10,1 USD =278.041 USD =278.04
2024-05-13,1 USD =278.171 USD =278.17
2024-05-14,1 USD =278.141 USD =278.14
2024-05-15,1 USD =278.211 USD =278.21
2024-05-16,1 USD =278.591 USD =278.59
2024-05-17,1 USD =278.501 USD =278.50
2024-05-20,1 USD =278.471 USD =278.47
2024-05-21,1 USD =278.501 USD =278.50
2024-05-22,1 USD =278.521 USD =278.52
2024-05-23,1 USD =278.391 USD =278.39
2024-05-24,1 USD =277.981 USD =277.98
2024-05-27,1 USD =278.311 USD =278.31
2024-05-28,1 USD =278.821 USD =278.82
2024-05-29,1 USD =278.611 USD =278.61
2024-05-30,1 USD =278.441 USD =278.44
2024-05-31,1 USD =278.431 USD =278.43
2024-06-03,1 USD =278.651 USD =278.65
2024-06-04,1 USD =278.301 USD =278.30
2024-06-05,1 USD =278.461 USD =278.46
2024-06-06,1 USD =278.451 USD =278.45
2024-06-07,1 USD =278.451 USD =278.45
2024-06-10,1 USD =278.001 USD =278.00
2024-06-11,1 USD =278.741 USD =278.74
2024-06-12,1 USD =278.591 USD =278.59
2024-06-13,1 USD =278.631 USD =278.63
2024-06-14,1 USD =278.501 USD =278.50
2024-06-17,1 USD =278.491 USD =278.49
2024-06-18,1 USD =278.551 USD =278.55
2024-06-19,1 USD =278.621 USD =278.62
2024-06-20,1 USD =278.531 USD =278.53
2024-06-21,1 USD =278.581 USD =278.58
2024-06-24,1 USD =278.601 USD =278.60
2024-06-25,1 USD =278.601 USD =278.60
2024-06-26,1 USD =278.501 USD =278.50
2024-06-27,1 USD =278.501 USD =278.50
2024-06-28,1 USD =278.531 USD =278.53
2024-07-01,1 USD =278.451 USD =278.45
2024-07-02,1 USD =278.381 USD =278.38
2024-07-03,1 USD =278.401 USD =278.40
2024-07-04,1 USD =278.571 USD =278.57
2024-07-05,1 USD =277.971 USD =277.97
2024-07-08,1 USD =278.591 USD =278.59
2024-07-09,1 USD =278.511 USD =278.51
2024-07-10,1 USD =278.461 USD =278.46
2024-07-11,1 USD =278.511 USD =278.51
2024-07-12,1 USD =277.961 USD =277.96
2024-07-15,1 USD =278.041 USD =278.04
2024-07-16,1 USD =278.591 USD =278.59
2024-07-17,1 USD =278.461 USD =278.46
2024-07-18,1 USD =278.251 USD =278.25
2024-07-19,1 USD =278.401 USD =278.40
2024-07-22,1 USD =278.311 USD =278.31
2024-07-23,1 USD =278.271 USD =278.27
2024-07-24,1 USD =278.541 USD =278.54
2024-07-25,1 USD =278.461 USD =278.46
2024-07-26,1 USD =278.211 USD =278.21
2024-07-29,1 USD =278.581 USD =278.58
2024-07-30,1 USD =278.851 USD =278.85
2024-07-31,1 USD =278.791 USD =278.79
2024-08-01,1 USD =278.611 USD =278.61
2024-08-02,1 USD =279.001 USD =279.00
2024-08-05,1 USD =278.701 USD =278.70
2024-08-06,1 USD =278.951 USD =278.95
2024-08-07,1 USD =278.711 USD =278.71
2024-08-08,1 USD =278.641 USD =278.64
2024-08-09,1 USD =278.751 USD =278.75
2024-08-12,1 USD =278.701 USD =278.70
2024-08-13,1 USD =278.651 USD =278.65
2024-08-14,1 USD =278.631 USD =278.63
2024-08-15,1 USD =278.611 USD =278.61
2024-08-16,1 USD =277.451 USD =277.45
2024-08-19,1 USD =278.451 USD =278.45
2024-08-20,1 USD =277.991 USD =277.99
2024-08-21,1 USD =278.631 USD =278.63
2024-08-22,1 USD =278.731 USD =278.73
2024-08-23,1 USD =278.631 USD =278.63
2024-08-26,1 USD =278.461 USD =278.46
2024-08-27,1 USD =278.381 USD =278.38
2024-08-28,1 USD =278.521 USD =278.52
2024-08-29,1 USD =279.051 USD =279.05
2024-08-30,1 USD =278.491 USD =278.49
2024-09-02,1 USD =278.611 USD =278.61
2024-09-03,1 USD =278.651 USD =278.65
2024-09-04,1 USD =278.191 USD =278.19
2024-09-05,1 USD =278.571 USD =278.57
2024-09-06,1 USD =278.581 USD =278.58
2024-09-09,1 USD =278.791 USD =278.79
2024-09-10,1 USD =278.771 USD =278.77
2024-09-11,1 USD =278.581 USD =278.58
2024-09-12,1 USD =278.521 USD =278.52
2024-09-13,1 USD =278.631 USD =278.63
2024-09-16,1 USD =278.241 USD =278.24
2024-09-17,1 USD =278.761 USD =278.76
2024-09-18,1 USD =278.171 USD =278.17
2024-09-19,1 USD =278.361 USD =278.36
2024-09-20,1 USD =277.941 USD =277.94
2024-09-23,1 USD =277.931 USD =277.93
2024-09-24,1 USD =277.871 USD =277.87
2024-09-25,1 USD =277.861 USD =277.86
2024-09-26,1 USD =277.731 USD =277.73
2024-09-27,1 USD =277.701 USD =277.70
2024-09-30,1 USD =277.751 USD =277.75
2024-10-01,1 USD =277.521 USD =277.52
2024-10-02,1 USD =277.571 USD =277.57
2024-10-03,1 USD =277.881 USD =277.88
2024-10-04,1 USD =277.551 USD =277.55
2024-10-07,1 USD =277.531 USD =277.53
2024-10-08,1 USD =277.701 USD =277.70
2024-10-09,1 USD =277.721 USD =277.72
2024-10-10,1 USD =277.771 USD =277.77
2024-10-11,1 USD =277.751 USD =277.75
2024-10-14,1 USD =277.811 USD =277.81
2024-10-15,1 USD =277.801 USD =277.80
2024-10-16,1 USD =277.711 USD =277.71
2024-10-17,1 USD =277.731 USD =277.73
2024-10-18,1 USD =277.651 USD =277.65
2024-10-21,1 USD =277.681 USD =277.68
2024-10-22,1 USD =277.731 USD =277.73
2024-10-23,1 USD =277.711 USD =277.71
2024-10-24,1 USD =277.801 USD =277.80
2024-10-25,1 USD =278.191 USD =278.19
2024-10-28,1 USD =278.241 USD =278.24
2024-10-29,1 USD =277.761 USD =277.76
2024-10-30,1 USD =277.971 USD =277.97
2024-10-31,1 USD =277.781 USD =277.78
2024-11-01,1 USD =277.741 USD =277.74
2024-11-04,1 USD =277.911 USD =277.91
2024-11-05,1 USD =277.921 USD =277.92
2024-11-06,1 USD =277.871 USD =277.87
2024-11-07,1 USD =277.911 USD =277.91
2024-11-08,1 USD =278.051 USD =278.05
2024-11-11,1 USD =277.901 USD =277.90
2024-11-12,1 USD =278.051 USD =278.05
2024-11-13,1 USD =278.051 USD =278.05
2024-11-14,1 USD =278.101 USD =278.10
2024-11-15,1 USD =277.701 USD =277.70
2024-11-18,1 USD =277.801 USD =277.80
2024-11-19,1 USD =278.001 USD =278.00
2024-11-20,1 USD =278.031 USD =278.03
2024-11-21,1 USD =277.931 USD =277.93
2024-11-22,1 USD =277.801 USD =277.80
2024-11-25,1 USD =277.951 USD =277.95
2024-11-26,1 USD =277.321 USD =277.32
2024-11-27,1 USD =278.001 USD =278.00
2024-11-28,1 USD =277.951 USD =277.95
2024-11-29,1 USD =278.101 USD =278.10
2024-12-02,1 USD =277.811 USD =277.81
2024-12-03,1 USD =277.971 USD =277.97
2024-12-04,1 USD =277.941 USD =277.94
2024-12-05,1 USD =277.971 USD =277.97
2024-12-06,1 USD =278.121 USD =278.12
2024-12-09,1 USD =278.121 USD =278.12
2024-12-10,1 USD =278.211 USD =278.21
2024-12-11,1 USD =277.841 USD =277.84
2024-12-12,1 USD =278.311 USD =278.31
2024-12-13,1 USD =277.921 USD =277.92
2024-12-16,1 USD =277.931 USD =277.93
2024-12-17,1 USD =278.191 USD =278.19
2024-12-18,1 USD =278.211 USD =278.21
2024-12-19,1 USD =278.301 USD =278.30
2024-12-20,1 USD =278.271 USD =278.27
2024-12-23,1 USD =278.961 USD =278.96
2024-12-24,1 USD =278.221 USD =278.22
2024-12-25,1 USD =277.961 USD =277.96
2024-12-26,1 USD =277.961 USD =277.96
2024-12-27,1 USD =278.391 USD =278.39
2024-12-30,1 USD =278.301 USD =278.30
2024-12-31,1 USD =278.521 USD =278.52
